Value,Author
1.0,
1.0,Arik Bergman
1.0,Jean-Charles Beugnot
1.0,Luis Costa
1.0,Robert DeRubeis
1.0,Zhenyang Ding
1.0,Benjamin J. Eggleton
1.0,Avishay Eyal
4.0,Xinyu Fan
1.0,María R. Fernández-Ruiz
1.0,Haniel Gabai
1.0,Miguel Gonzalez-Herraez
1.0,Juan Pastor Graells
1.0,Neisei Hayashi
2.0,Zuyuan He
1.0,Xuehao Hu
1.0,Junfeng Jiang
3.0,Zonglei Li
4.0,Qingwen Liu
1.0,Alayn Loayssa
1.0,Javier Macias-Guarasa
1.0,Regina Magalhães
1.0,Wuilpart Marc
1.0,Sonia Martin-Lopez
1.0,Hugo F. Martins
1.0,Aldo Minardo
3.0,Yosuke Mizuno
1.0,Yonas Muanenda
1.0,Claudio Oton
1.0,Luca Palmieri
1.0,Fabrizio Di Pasquale
3.0,Xu Pengbai
1.0,Shuai Qu
2.0,Yunjiang Rao
1.0,Brandon Redding
1.0,Lihi Shiloh-Perl
0.3,Pan Shilong
2.0,Kwang Yong Song
4.0,Marcelo A. Soto
1.0,Thibaut Sylvestre
2.0,Luc Thévenaz
1.0,Liang Wang
4.0,Zinan Wang
1.0,Ethan F. Williams
1.0,Lianshan Yan
4.0,Fan Yang
0.5,Jianping Yao
4.0,Dong Yongkang
3.0,Avi Zadok
1.0,Li Zhang
1.0,Fangzheng Zhang
3.0,Zhiyong Zhao
0.5,Tao Zhu
0.5, T Zhu
1.0,Xihua Zou
