Value,Jonl
1.0,
1.0, 11th International Conference on Power
1.0, 15th European Conference …
1.0, 18th International Multi-Conference on Systems …
1.0, 20th International Conference on Microwave …
1.0, 5th IEEE Electron Devices Technology & …
1.0, 5th IEEE Electron Devices …
1.0, IEEE 17th …
1.0, IEEE 2nd International Conference on Big Data …
1.0, IEEE 34th …
1.0, IEEE Custom Integrated …
1.0, IEEE International Symposium on …
1.0, IEEE International …
1.0, IEEE Wireless …
1.0, Systems of Signals Generating and Processing in …
1.0,5G and Beyond: Fundamentals and Standards
1.0,ACS Applied Electronic Materials
1.0,ACS Applied Materials & Interfaces
1.0,ACS Applied Materials & …
1.0,ACS Applied Nano …
1.0,ACS Nano
7.0,ACS Photonics
1.0,ACS nano
1.0,ACS sensors
1.0,AIP Advances
1.0,AIP Conference Proceedings
1.0,APL Photonics
1.0,ASCE-ASME Journal of Risk and Uncertainty in …
1.0,Acta Photonica Sinica
1.0,Actuators
1.0,Advanced Drug Delivery …
1.0,Advanced Energy Materials
1.0,Advanced Fiber Materials
1.0,Advanced Functional Materials
1.0,Advanced Functional …
1.0,Advanced Materials
1.0,Advanced Materials Technologies
1.0,Advanced NanoBiomed Research
1.0,Advanced Optical Materials
1.0,Advanced Photonics Research
1.0,Advanced Science
1.0,Advances in Civil Engineering
1.0,Advances in Water Resources
1.0,Aerospace Science and Technology
1.0,AgriEngineering
1.0,Alcohol and Alcoholism
1.0,Analytica Chimica Acta
1.0,Analytical Chemistry
1.0,Annals of Nuclear Energy
1.0,Annals of the Romanian …
1.0,Annual Review of Clinical Psychology
1.0,Applied Materials Today
1.0,Applied Mathematics Letters
1.0,Applied Nanoscience
4.0,Applied Optics
1.0,Applied Physics A
1.0,Applied Physics B
4.0,Applied Physics Express
3.0,Applied Physics Letters
1.0,Applied Sciences
1.0,Applied Surface Science
1.0,Applied optics
1.0,Aquaculture
1.0,Arabian Journal of Geosciences
1.0,Asian Journal of Psychiatry
1.0,Asian Journal of Research …
1.0,Atmospheric Measurement …
1.0,Australian & New Zealand …
1.0,Automation in Construction
1.0,Avicenna Journal of Neuro Psycho …
1.0,BMC Geriatrics
1.0,BMC Health Services …
1.0,BMC Psychiatry
1.0,BMJ Open
1.0,Behavior Therapy
1.0,Behaviour Research and …
1.0,Behavioural and cognitive …
1.0,BioMed Research …
1.0,Biomedical Optics Express
1.0,Biosensors
1.0,Biotechnology Bulletin
1.0,Body Image
1.0,Boundary-Layer Meteorology
1.0,Brain Research
1.0,Brain Topography
1.0,Brazilian Journal of Physics
1.0,British Journal of Biomedical …
1.0,Broadband Access Communication Technologies XV
1.0,Broadband Access …
1.0,Bulletin of the American …
1.0,CBT Case Formulation as Therapeutic Process
1.0,Canadian Journal of Counselling and …
1.0,Cancer
1.0,Cancer Epidemiology and …
1.0,Cell Reports Medicine
1.0,Cellulose
1.0,Cement and Concrete Composites
1.0,Cement and Concrete …
1.0,Ceramics International
1.0,Chaos
1.0,Chemical Engineering Journal
1.0,Chemical Engineering …
1.0,Chemical Society Reviews
1.0,Chemistry–An Asian Journal
1.0,Chemosensors
1.0,Chemosphere
1.0,Child Maltreatment
1.0,Children's Health Care
3.0,Chinese Optics Letters
2.0,Chinese Physics B
3.0,Chinese Physics Letters
1.0,Circuits
1.0,Clinical EEG and Neuroscience
1.0,Clinical Psychological …
1.0,Clinical Psychology & …
1.0,Clinical Psychology Review
1.0,Clinical Psychology: Science and Practice
1.0,Coatings
1.0,Cognitive Behaviour Therapy
1.0,Cognitive Computation and Systems
1.0,Cognitive Therapy and Research
1.0,Cognitive Therapy and …
1.0,Communications Materials
1.0,Communications Physics
