Value,Jonl
10.0,Optica
10.0,Science
8.0,Optics Letters
7.0,ACS Photonics
7.0,Light
7.0,Light: Science & Applications
6.0,IEEE Internet of Things Journal
6.0,Journal of Lightwave 
6.0,Journal of Lightwave Technology
6.0,Journal of Lightwave …
6.0,Nature Photonics
6.0,Optics Express
6.0,Opto-Electronic Advances
5.0,Optics and Lasers in Engineering
4.0,Applied Optics
4.0,Applied Physics Express
4.0,Nature Communications
4.0,Opto-Electronics Review
4.0,Photonics Research
4.0,Scientific Reports
3.0,Applied Physics Letters
3.0,Chinese Optics Letters
3.0,Chinese Physics Letters
3.0,Electronics Letters
3.0,IEEE Journal of Selected 
3.0,IEEE Journal of Selected Topics in Quantum 
3.0,IEEE Journal of Selected Topics in Quantum …
3.0,IEEE Journal of Selected …
3.0,IEEE Photonics Journal
3.0,IEEE Photonics Technology 
3.0,IEEE Photonics Technology Letters
3.0,IEEE Photonics Technology …
3.0,IEEE Sensors Journal
3.0,International Journal of Optics
3.0,Journal of Physics: Photonics
3.0,OSA Continuum
3.0,Optical Fiber Technology
3.0,Optics & Laser Technology
3.0,Optics Communications
3.0,Photonic Sensors
3.0,Science Advances
3.0,Science Bulletin
3.0,Sensors
3.0,Sensors and Actuators B …
3.0,Structural Health Monitoring
3.0,Structural health monitoring …
2.0,Chinese Physics B
2.0,IEEE Journal of Quantum Electronics
2.0,IEEE Journal of Quantum …
2.0,Journal of Optical Communications
2.0,Journal of Optical …
2.0,Journal of Optics
2.0,Journal of Physics D …
2.0,Journal of Physics D: Applied Physics
2.0,Journal of Physics D: Applied …
2.0,Journal of Physics: Conference Series
2.0,Optical Engineering
2.0,Optical Sensors 
2.0,Optik
2.0,Physical Review A
2.0,Physical Review Applied
2.0,Physical Review B
2.0,Physical Review Letters
2.0,Sensor Review
2.0,Sensors and Actuators A …
2.0,Sensors and Actuators A: Physical
2.0,Sensors and Actuators B 
2.0,Sensors and Actuators B: Chemical
2.0,arXiv e-prints
2.0,arXiv preprint arXiv 
2.0,arXiv preprint arXiv …
2.0,arXiv preprint arXiv:.00492
2.0,arXiv preprint arXiv:.00676
2.0,arXiv preprint arXiv:.00847
2.0,arXiv preprint arXiv:.01163
2.0,arXiv preprint arXiv:.01402
2.0,arXiv preprint arXiv:.01691
2.0,arXiv preprint arXiv:.02485
2.0,arXiv preprint arXiv:.02809
2.0,arXiv preprint arXiv:.02905
2.0,arXiv preprint arXiv:.03289
2.0,arXiv preprint arXiv:.04069
2.0,arXiv preprint arXiv:.05101
2.0,arXiv preprint arXiv:.05459
2.0,arXiv preprint arXiv:.05836
2.0,arXiv preprint arXiv:.06232
2.0,arXiv preprint arXiv:.06274
2.0,arXiv preprint arXiv:.06465
2.0,arXiv preprint arXiv:.06527
2.0,arXiv preprint arXiv:.06554
2.0,arXiv preprint arXiv:.07058
2.0,arXiv preprint arXiv:.07099
2.0,arXiv preprint arXiv:.07309
2.0,arXiv preprint arXiv:.07822
2.0,arXiv preprint arXiv:.08135
2.0,arXiv preprint arXiv:.08670
2.0,arXiv preprint arXiv:.08892
2.0,arXiv preprint arXiv:.08913
2.0,arXiv preprint arXiv:.09101
2.0,arXiv preprint arXiv:.09297
2.0,arXiv preprint arXiv:.09509
2.0,arXiv preprint arXiv:.09618
2.0,arXiv preprint arXiv:.10073
2.0,arXiv preprint arXiv:.10246
2.0,arXiv preprint arXiv:.10494
2.0,arXiv preprint arXiv:.10562
2.0,arXiv preprint arXiv:.10801
2.0,arXiv preprint arXiv:.11265
2.0,arXiv preprint arXiv:.12150
2.0,arXiv preprint arXiv:.13258
2.0,arXiv preprint arXiv:.13599
2.0,arXiv preprint arXiv:.14809
2.0,arXiv preprint arXiv:.15353
2.0,arXiv preprint arXiv:.16890
2.0,arXiv preprint arXiv:.17068
2.0,… of Lightwave Technology
2.0,中国光学
2.0,中国激光
2.0,光子学报
2.0,光学学报
2.0,光学技术
2.0,光电技术应用
2.0,激光与光电子学进展
2.0,物理学报
2.0,红外与激光工程
