Value,Jonl
1.0,
1.0, 11th International Conference on Power
1.0, 12th International Conference on Advanced …
1.0, 12th International Conference on …
1.0, 15th European Conference …
1.0, 15th European Microwave Integrated …
1.0, 15th European Microwave …
1.0, 17th European Radar …
1.0, 18th International Multi-Conference on Systems …
1.0, 1st International Conference Problems of …
1.0, 20th International Conference on Microwave …
1.0, 2nd International Conference on Robotics …
1.0, 2nd PhD Colloquium on Ethically Driven …
1.0, 4th International …
1.0, 50th European …
1.0, 5th IEEE Electron Devices Technology & …
1.0, 5th IEEE Electron Devices …
1.0, Dynamics of Systems …
1.0, European Conference on Optical …
1.0, European Conference on …
1.0, European Conference …
1.0, IEEE 17th India Council International Conference …
1.0, IEEE 17th India Council International …
1.0, IEEE 17th …
1.0, IEEE 20th International …
1.0, IEEE 2nd International Conference on Big Data …
1.0, IEEE 34th …
1.0, IEEE 3rd International …
1.0, IEEE 4th Conference on Energy Internet and …
1.0, IEEE 4th Conference on Information & …
1.0, IEEE 4th International Conference on Frontiers of …
1.0, IEEE 4th International Conference on …
1.0, IEEE 6th International Conference on Computer …
1.0, IEEE 6th International …
1.0, IEEE 92nd Vehicular Technology Conference …
1.0, IEEE Conference on Telecommunications
1.0, IEEE Custom Integrated …
1.0, IEEE Electrical Design of Advanced Packaging …
1.0, IEEE International Conference on Consumer …
1.0, IEEE International Conference on Healthcare …
1.0, IEEE International Conference on Industrial …
1.0, IEEE International Conference on Integrated …
1.0, IEEE International Conference on …
1.0, IEEE International Symposium on …
1.0, IEEE International …
1.0, IEEE Wireless …
1.0, International Topical Meeting on Microwave …
1.0, International Topical Meeting on …
1.0, International Topical Meeting …
1.0, International Topical …
1.0, Sixth International Conference on Parallel …
1.0, Systems of Signals Generating and Processing in …
1.0,11th International Conference on Power
1.0,12th International Conference on Advanced …
1.0,12th International Conference on …
1.0,15th European Conference …
1.0,15th European Microwave Integrated …
1.0,15th European Microwave …
1.0,17th European Radar …
1.0,18th International Multi-Conference on Systems …
1.0,1st International Conference Problems of …
1.0,20th International Conference on Microwave …
1.0,2nd International Conference on Robotics …
1.0,2nd PhD Colloquium on Ethically Driven …
1.0,4th International …
1.0,4th Optics Young Scientist Summit (OYSS )
1.0,4th Optics Young Scientist Summit …
1.0,4th Optics Young Scientist …
1.0,50th European …
1.0,5G and Beyond: Fundamentals and Standards
1.0,5th IEEE Electron Devices Technology & …
1.0,5th IEEE Electron Devices …
1.0,ACS Applied Bio Materials
1.0,ACS Applied Electronic Materials
1.0,ACS Applied Materials & Interfaces
1.0,ACS Applied Materials & …
1.0,ACS Applied Nano Materials
1.0,ACS Applied Nano …
1.0,ACS Biomaterials Science & Engineering
1.0,ACS Chemical …
1.0,ACS Nano
1.0,ACS Omega
7.0,ACS Photonics
1.0,ACS nano
1.0,ACS sensors
1.0,AI and Optical Data Sciences II
1.0,AI and Optical Data …
1.0,AIAA Scitech  Forum
1.0,AIP Advances
1.0,AIP Conference Proceedings
1.0,APL Photonics
1.0,ASCE-ASME Journal of Risk and Uncertainty in …
1.0,Acta Photonica Sinica
1.0,Acta Psychiatrica …
1.0,Acta de investigación psicológica
1.0,Actuators
1.0,Addiction Biology
1.0,Advanced Biomedical and …
1.0,Advanced Devices & Instrumentation
1.0,Advanced Drug Delivery …
1.0,Advanced Energy Materials
1.0,Advanced Fiber Materials
1.0,Advanced Functional Materials
1.0,Advanced Functional …
1.0,Advanced Intelligent Systems
1.0,Advanced Materials
1.0,Advanced Materials Technologies
1.0,Advanced Materials for Future Terahertz Devices …
1.0,Advanced Materials …
1.0,Advanced NanoBiomed Research
1.0,Advanced Optical Materials
1.0,Advanced Photonics
